Owner,Number of Plants
Nucor Corp,11
Cleveland-Cliffs Inc,10
Nippon Steel Corp,8
Gerdau Ameristeel Corp,7
Commercial Metals Co,7
Steel Authority of India Ltd,6
ArcelorMittal Brasil SA,6
Steel Dynamics Inc,6
Rungta Mines Ltd,5
ArcelorMittal SA,4
JSW Steel Ltd,4
Mobarakeh Steel Co,4
JFE Steel Corp,4
Tokyo Steel Manufacturing Co Ltd,4
Government of North Korea,4
Angang Steel Co Ltd,3
Gerdau Acos Longos SA,3
Acciaierie Venete SpA,3
Tata Steel Ltd,3
Godo Steel Ltd,3
JFE Bars & Shapes Corp,3
Orissa Metaliks Pvt Ltd,3
Kyoei Steel Ltd,3
Ternium México SA de CV,3
Promsort LLC,3
Hyundai Steel Co,3
Tung Ho Steel Enterprise Corp,3
United States Steel Corp,3
Shyam Metalics and Energy Ltd,2
Khouzestan Steel Co,2
Riva Acciaio SpA,2
Outokumpu Stainless AB,2
Egyptian Steel Group,2
GV do Brasil Industria e Comercio de Aço Ltda,2
Evraz North America PLC,2
Nippon Steel Stainless Steel Corp,2
Aperam Stainless Belgium NV,2
Amsteel Mills Sdn Bhd,2
DeAcero SAPI de CV,2
Gerdau Corsa SAPI de CV,2
Aceros Especiales Simec Tlaxcala SA de CV,2
Infrabuild Australia Pty Ltd,2
Hunan Valin Lianyuan Iron and Steel Co Ltd,2
Sev.en Global Investments AS,2
SteelAsia Manufacturing Corp,2
Siam Yamato Steel Co Ltd,2
Liberty Steel Group,2
Guangxi Longzhou Zhongheng Wanhua Industrial Co Ltd,2
UMK-Stal LLC,2
Dongkuk Steel Mill Co Ltd,2
Ovako AB,2
POSCO Holdings Inc,2
ArcelorMittal España SA,2
Evonith Metallics Ltd,2
Tata Steel (Thailand) PCL,2
Kardemir Karabuk Demir Çelik Sanayi Ve Ticaret AŞ,2
Toscelik Profil ve Sac Endustrisi AS,2
Charter Manufacturing Co Inc,2
Jai Balaji Industries Ltd,2
Jindal Stainless Ltd,2
SSAB Americas Holding AB,2
Jindal Steel & Power Ltd,2
Lloyds Metals and Energy Ltd,2
Pomina Steel JSC,2
"Guangde Xinyuanda Metal Products Co., Ltd. Co Ltd",1
Anhui Shoukuang Dachang Metal Material Co Ltd,1
Anshan Baode Iron & Steel Co Ltd,1
Anyang Iron & Steel Co Ltd,1
Baoshan Iron & Steel Co Ltd,1
Baosteel Desheng Stainless Steel Co Ltd,1
Baosteel Group Xinjiang Bayi Iron & Steel Co Ltd,1
Baosteel Zhanjiang Iron & Steel Co Ltd,1
Baowu Group Echeng Iron & Steel Co Ltd,1
Bengang Steel Plates Co Ltd,1
Benxi Beiying Iron & Steel (GROUP) Co Ltd,1
Cangzhou China Railway Equipment Manufacturing Materials Co Ltd,1
Changshu Longteng Special Steel Co Ltd,1
Lucheng Xingbao Iron & Steel Co Ltd,1
Changzhou Dongfang Special Steel Co Ltd,1
Chengde Street Ltd,1
Chengde Jianlong SPECIAL Steel Co Ltd,1
Chengdu Changfeng Steel Group Co Ltd,1
Chengyu Vanadium & Titanium Technology Co Ltd,1
Chifeng Yuanlian Steel Co Ltd,1
Chifeng Zhongtang Special Steel Co Ltd,1
Chizhou Guichi Guihang Metal Products Co Ltd,1
Chongqing Iron & Steel Co Ltd,1
Chongqing Yonghang Steel Group Co Ltd,1
Danyang Longjiang Steel Co Ltd,1
Daye SPECIAL Steel Co Ltd,1
Hubei Xinxin Steel Group Co Ltd; natural person(s),1
DELONG Steel Ltd,1
Dongbei Special Steel Group Dalian Special Steel Co Ltd,1
Fangda Special Steel Technology Co Ltd,1
Fujian Great Dong Hai Industrial Group Co Ltd,1
Fujian Dingsheng Steel Co Ltd,1
Fujian Dingxin Industry Co Ltd,1
Fujian Longgang New Materials Co Ltd,1
Fujian Luoyuan Minguang Iron & Steel Co Ltd,1
Fujian Qingtuo New Material Co Ltd,1
Fujian San'an Iron & Steel Co Ltd,1
Fujian Sanbao Steel Co Ltd,1
Fujian Tsingtuo Nickel Industry Co Ltd,1
Fujian Wuhang Stainless Steel Products Co Ltd,1
Fushun HANWANG Direct Reduced Iron Co Ltd,1
Fushun New Steel Corp Ltd,1
Fushun Special Steel Co Ltd,1
Fuzhou Wuhang Steel Products Co Ltd,1
Gansu Jiu Steel Group Hongxing Iron and Steel Co Ltd,1
Guangdong Guangqing METAL Technology Co Ltd,1
Guangdong Jingye Iron and Steel Co Ltd,1
Guangdong Jinshenglan Metallurgical Technology Co Ltd,1
Guangdong Nanfang Donghai Iron and Steel Co Ltd,1
GuangDong Xinxing Ductile Iron Pipes Co Ltd,1
Guangdong Yuebei United Steel Co Ltd,1
Guangshui Huaxin Smelt Industry Co Ltd,1
Guangxi BG New Materials Co Ltd,1
Guangxi Chiji Iron and Steel Co Ltd,1
Guangxi Guigang Iron and Steel Group Co Ltd,1
Guangxi Guigang Iron and Steel Group Guigang Guibao SPECIAL Steel Co Ltd,1
Guangxi Guixin Steel Group Co Ltd,1
Hezhou Zhaoxin Hardware Products Co Ltd,1
Guangxi Hezhou Kexinda Metal Products Co Ltd,1
Guangxi Iron and Steel Group Co Ltd,1
Guangxi Liugang Zhongjin Stainless Steel Co Ltd,1
Guangxi Shenglong Metallurgical Co Ltd,1
Guangxi Wuzhou Jinhai Stainless Steel Co Ltd,1
Guilin Pinggang Iron and Steel Co Ltd,1
Guizhou Ganglian Industrial Group Co Ltd,1
Guizhou Hexing Metal Products Co Ltd,1
Guizhou United Steel (Group) Co Ltd,1
Hanshan Iron and Steel Co Ltd,1
Dazhou Hangda Steel Co Ltd,1
HBIS Laoting Steel Co Ltd,1
Hebei Anfeng Iron & Steel Co Ltd,1
Hebei Donghai SPECIAL Steel Group Co Ltd,1
Hebei Huaxi Special Steel Co Ltd,1
Hebei Huaxin Special Steel Co Ltd,1
Hebei Jinxi Iron & Steel Group Co Ltd,1
Hebei PROVINCE Longfengshan Casting Industry Co Ltd,1
Hebei Puyang Iron and Steel Co Ltd,1
Hebei Rongxin Iron & Steel Co Ltd,1
Hebei Taihang Iron and Steel Group Co Ltd,1
Hebei Tangyin IRON&STEEL Co Ltd,1
Hebei Tianzhu Iron and Steel Group Special Steel Co Ltd,1
Hebei New Wuan Lron and Steel Group Hong Rong Lron and Steel Co Ltd,1
Hebei Xinda Iron and Steel Co Ltd,1
Hebei Xinjin Iron and Steel Co Ltd,1
Hebei New Wuan Iron and Steel Group Xin Hui Metallurgy Co Ltd,1
Hebei Xinxing Ductile Iron Pipes Co Ltd,1
Hebei Yanshan Iron and Steel Group Co Ltd,1
Hebei YongYang Special Steel Group Co Ltd,1
Hbzx HIGH Tech Co Ltd,1
Hebei Zongheng Group Fengnan Iron & Steel Co Ltd,1
Heilongjiang Jianlong Iron and Steel Co Ltd,1
Henan Angang Zhoukou Iron and Steel Co Ltd,1
Henan Fengbao SPECIAL Steel Co Ltd,1
Henan Xinjinhui Stainless Steel Industry Co Ltd,1
Henan Jiyuan Iron & Steel (Group) Co Ltd,1
Henan YAXIN Steel Industry Co Ltd,1
Hengyang Valin Steel Tube Co Ltd,1
Heping Yueshen Steel Industrial Co Ltd,1
Heyuan Derun Steel Co Ltd,1
Hezhou Xindu Sanyuan Casting Co Ltd,1
Houying Group Haicheng Iron and Steel Co Ltd,1
Huainan Hongtai Steel Limited Liability Co,1
Hubei Jinshenglan Metallurgical Technology Co Ltd,1
Hubei Lijin Steel Group Co Ltd,1
Hubei Shunle Iron and Steel Co Ltd,1
Inner Mongolia BaoTou Steel Union Co Ltd,1
Inner Mongolia Desheng Metal Products Co Ltd,1
Inner Mongolia Yaxinlongshun Special Steel Co Ltd,1
Jianglong Acheng Iron & Steel Co Ltd,1
Jiangsu Province Binxin Steel Group Co Ltd,1
Jiangsu Changqiang Iron & Steel Co Ltd,1
Jiangsu Delong Nickel Industry Co Ltd,1
Jiangsu HONGTAI Metals Ware Co Ltd,1
Jiangsu Shagang Group Huaigang SPECIAL Steel Co Ltd,1
Jiangsu Xusteel Group Co Ltd,1
Jiangxi Taixin Iron & Steel Co Ltd,1
Jiangyin Huaxi Steel Co Ltd,1
Jiangyin Xicheng Steel Co Ltd,1
Jiangyin Xingcheng SPECIAL Steel Works Co Ltd,1
Jianlong Beiman SPECIAL Steel Co Ltd,1
Jianlong Xilin Iron and Steel Co Ltd,1
Jilin Jianlong Steel Co Ltd,1
Jilin Jingang Lron and Steel Co Ltd,1
JiLin Province Xinda Steel Co Ltd,1
Jinan Iron & Steel Group Co Ltd,1
Jincheng FUSHENG Iron & Steel Co Ltd,1
Jinding Heavy Industries Co Ltd,1
Jingye Iron and Steel Co Ltd,1
Jingzhou Qunli Metal Products Co Ltd,1
Jinye Steel Group Co Ltd,1
Jiugang Group Yuzhong Iron & Steel Co Ltd,1
JiuJiang PXSteel Co Ltd,1
Laiwu Steel Yinshan Section Co Ltd,1
Gaolan County Lanxin Steel Co Ltd,1
Lengshuijiang Iron and Steel Co Ltd,1
Lianfeng Steel (Zhangjiagang) Co Ltd,1
Lianyungang Huale Alloy Group Co Ltd,1
Lianyungang Xingxin Iron and Steel Co Ltd,1
Lianyungang Yaxin Iron and Steel Co Ltd,1
Liaoyang United Steel Co Ltd,1
Liaoyang Xinyi Special Steel Co Ltd,1
Licheng Taihang Iron & Steel Co Ltd,1
Lingyuan Iron & Steel Co Ltd,1
Linyi Iron and Steel Investment Group Co Ltd,1
Huahong Iron and Steel Products Co Ltd,1
Liuzhou IRON&STEEL Co Ltd,1
Liyang Baorun Steel Co Ltd,1
Luzhou Xinyang Vanadium Titanium Steel Co Ltd,1
Lvliang Jianlong Industrial Co Ltd,1
Maanshan Iron & Steel Co Ltd,1
Nanjing Iron & Steel Co Ltd,1
Nanyang Hanye SPECIAL STREET Co Ltd,1
Ningbo Haoyang New MATERIALS Techonology Co Ltd,1
Ningbo Iron & Steel Co Ltd,1
Ningxia Iron and Steel (Group) Co Ltd,1
Ningxia Jianlong Special Steel Co Ltd,1
Pan Gang Group Sichuan Changcheng Special Steel Co Ltd,1
Panzhihua Steel Group Panzhihua Steel Vanadium Co Ltd,1
Pangang Group Xichang Steel and Vanadium Co Ltd,1
Jilinheng Precision Casting Technology Co Ltd,1
Anyuan Iron & Steel Co Ltd,1
Posco (Zhangjiagang) Stainless Steel Co Ltd,1
Qian'an City Jiujiang Wire Co Ltd,1
Qian'an Zhayi Steel Group Co Ltd,1
Qingdao Special Iron and Steel Co Ltd,1
Qinhuangdao Baigong Steel Co Ltd,1
Qinhuangdao Hongxing Iron & Steel Co Ltd,1
Rizhao Steel Holding Group Co Ltd,1
Rizhao Steel Yingkou Medium Plate Co Ltd,1
Sansteel Minguang Co Ltd Fujian,1
SGIS Songshan Co Ltd,1
Shaanxi Hanzhong Iron & Steel Group Co,1
Shaanxi Huaxin Special Steel Group Co Ltd,1
Shaanxi LONG MEN IRON&STEEL Co Ltd,1
Shaanxi Lueyang Iron and Steel Co Ltd,1
Shangang Group Hanzhong Iron & Steel Co Ltd,1
Shagang Group Anyang Yongxing Iron & Steel Co Ltd,1
Fulun Iron & Steel Co Ltd,1
Shandong Iron and Steel Co Ltd,1
Shandong IRON&STEEL Group Rizhao Co Ltd,1
Shandong Iron & Steel Group Yongfeng Lingang Corp,1
Shandong Luli Steel Co Ltd,1
Shandong Shouguang Juneng SPECIAL Steel Co Ltd,1
Shanghai Meishan Iron & Steel Co Ltd,1
Shanxi Gaoyi Steel Co Ltd,1
Shanxi HONGDA Iron and Steel Group Co Ltd,1
Shanxi HUAQIANG Iron and Steel Co Ltd,1
Hejin Huaxinyuan Steel & Iron Co Ltd,1
Shanxi Jianlong Industrial Co Ltd,1
Shanxi Jinnan Iron and Steel Group Co Ltd,1
Shanxi Meijin Iron and Steel Co Ltd,1
Shanxi Taigang Stainless Steel Co Ltd,1
ShanXi TongCai Industry and Trade Co Ltd,1
Shanxi Tongde Xinghua Special Steel Co Ltd,1
Shanxi Xintai Iron & Steel Co Ltd,1
Shanxi Zhongsheng Iron and Steel Co Ltd,1
Shanxi Zhongyang Iron & Steel Co Ltd,1
Shiheng SPECIAL Steel Group Co Ltd,1
Shijiazhuang Iron and Steel Co Ltd,1
Yun County Rongfeng Rolling Mill Factory,1
Shougang Changzhi IRON& Steel Co Ltd,1
Shougang Guiyang SPECIAL Steel Co Ltd,1
Shougang Jingtang United Iron & Steel Co Ltd,1
Beijing Shougang Co Ltd,1
Shougang Shuicheng Iron & Steel (Group) Co Ltd,1
"Sichuan De Sheng Group, Vanadium and Titanium Co Ltd",1
Sichuan Gangchen Stainless Steel Co Ltd,1
Sichuan Shehong Chuanzhong Construction Materials Co Ltd,1
Sichuan Shengquan Iron and Steel Group Co Ltd,1
Sichuan Ya'an Anshan Iron and Steel Co Ltd,1
Tangshan Donghai Iron and Steel Group Co Ltd,1
Tangshan Donghua Iron & Steel Enterprise Group Co Ltd,1
Tangshan Fengnan District Jing'an Iron and Steel Co Ltd,1
Tangshan Ganglu Iron & Steel Co Ltd,1
Tangshan Guotang Steel Co Ltd,1
Tangshan Heavy Plate Co Ltd,1
Tangshan RUIFENG Steel and Iron (GROUP) Co Ltd,1
Tangshan Songting IRON&STEEL Co Ltd,1
Tangshan Wenfeng Special Steel Co Ltd,1
Tangshan Xinglong Steel Co Ltd,1
Tangshan Yutian Jinzhou Industry Co Ltd,1
Tangshan Zhengfeng Steel Co Ltd,1
Tianjin Iron and Steel Group Co Ltd,1
Tianjin Iron PLANT Co Ltd,1
Tianjin Tiangang UNITED SPECIAL Steel Co Ltd,1
Tianjin Pipe Corp,1
Rockcheck Steel Group Co Ltd,1
Tonghua Iron & Steel Co Ltd,1
Tongling Fuxin Iron & Steel Co Ltd,1
Tongling City Xuanli Special Steel Co Ltd,1
Weifang SPECIAL Steel Group Co Ltd,1
Honghe Iron and Steel Co Ltd,1
WISCO Group Kunming Steel Co Ltd,1
Wugang Zhongjia Iron & Steel Co Ltd,1
Wuhai Baogang Wanteng Iron and Steel Co Ltd,1
Wuhan Iron and Steel Co Ltd,1
Wuhan Shunle Stainless Steel Co Ltd,1
Wuhu Fuxin Iron & Steel Co Ltd,1
Wuhu Xinxing Ductile Iron Pipes Co Ltd,1
Wulanhot Iron & Steel Co Ltd,1
Wuxi Xinsanzhou Special Steel Co Ltd,1
Wuyang Iron and Steel Co Ltd,1
Wuzhou Yongda Special Steel Co Ltd,1
Xiangfen County XinJinShan Special Steel Co Ltd,1
Xining Special Steel Co Ltd,1
Xinji AOSEN Steel Group Co Ltd,1
Xinjiang Da'an Special Steel Co Ltd,1
Xinjiang Ka Steel Group Co,1
Xinjiang KingTec Steel Co Ltd,1
Xinjiang Kunyu Lron & Steel Co Ltd,1
Xinjiang Minxin Iron and Steel (Group) Minhang Special Steel Co Ltd,1
Xinxing Ductile Iron Pipes Xinjiang Co Ltd,1
Xinjiang Xin'an Special Steel Co Ltd,1
Xinjiang Yili Iron and Steel Co Ltd,1
Xinyu Iron & Steel Corp Ltd,1
Yancheng Lianxin Steel Co Ltd,1
