Country/Area,Number of Plants
China,289
India,74
United States,70
Japan,38
Iran,31
Russia,27
TÃ¼rkiye,25
Brazil,22
Italy,22
Vietnam,20
South Korea,15
Spain,14
Germany,13
Mexico,13
Thailand,11
Malaysia,10
Taiwan,10
Egypt,10
France,10
Indonesia,8
Canada,8
Ukraine,7
Poland,6
Saudi Arabia,6
Venezuela,5
Bangladesh,5
Pakistan,5
North Korea,4
Algeria,4
Morocco,4
Belgium,4
Argentina,4
Iraq,4
Australia,3
Romania,3
Sweden,3
Greece,3
South Africa,3
Oman,3
United Kingdom,2
Angola,2
United Arab Emirates,2
Switzerland,2
Syria,2
Philippines,2
Peru,2
Portugal,2
Austria,2
Finland,2
Serbia,2
Bolivia,1
Bulgaria,1
Belarus,1
Bahrain,1
Azerbaijan,1
Bosnia and Herzegovina,1
Chile,1
Kenya,1
Libya,1
Luxembourg,1
Ghana,1
Czech Republic,1
Guatemala,1
Kazakhstan,1
Norway,1
North Macedonia,1
New Zealand,1
Nigeria,1
Namibia,1
Myanmar,1
Kuwait,1
Moldova,1
Slovenia,1
Slovakia,1
Singapore,1
Qatar,1
Uganda,1
Trinidad and Tobago,1
Uzbekistan,1
Zimbabwe,1
