name,logo,logo_size,former_name,type,traded_as,foundation,founder,hq_location,hq_location_city,key_people,area_served,ISIN,industry,products,revenue,operating_income,net_income,assets,equity,num_employees,subsid,parent,homepage,footnotes,_company_name,founders,location_city,location_country,logo_alt,revenue_year,income_year,net_income_year,assets_year,equity_year,owner,num_employees_year,hq_location_country,num_locations,num_locations_year,location,ratio,aum,rating,image,image_size,image_caption,owners,trading_name,members,divisions,services,founded,predecessor,image_alt,logo_caption,website,production,production_year,subject_name,image_link,players,designer,publisher,ages,setup_time,playing_time,random_chance,skills,fate,successor
Adani Ports and Special Economic Zone Limited,Adani Ports Logo.svg,175px,Mundra Port and Special Economic Zone Limited,[[Public company|Public]],"{{plainlist|
*|BSE|532921|
*|NSE|ADANIPORTS|
*[[NIFTY 50|NSE NIFTY 50]] constituent
*[[BSE SENSEX]] constituent}} {{BSE|532921}} * {{NSE|ADANIPORTS}} *[[NIFTY 50|NSE NIFTY 50]] constituent
*[[BSE SENSEX]] constituent",{{Start date and age|1998|05|26|df|=|yes}},[[Gautam Adani]],Adani House,"[[Navarangpura]], [[Ahmedabad]], [[Gujarat]], India","{{plainlist|
* [[Gautam Adani]] ([[chairman]])
* Karan Adani ([[Managing Director|MD]])
* Ashwani Gupta (Whole-Time Director & CEO)|ref|{{cite web | url=https://www.financialexpress.com/business/industry-ashwani-gupta-former-global-coo-of-nissan-appointed-ceo-of-adani-ports-and-special-economic-zone-3357624/ | title=Ashwani Gupta, former global COO of Nissan, appointed CEO of Adani Ports and Special Economic Zone | date=6 January 2024 }}|</ref>|}}",Worldwide,{{ISIN|sl|=|n|pl|=|y|INE742F01042}},[[Infrastructure]],{{hlist|[[Port operator]]|[[Ports|Ports and shipping]]|[[Maritime transport]]|[[Logistics]]|[[Dredging]]|ref|{{cite news |title=Adani Ports dredging fleet emerges as India's largest: APSEZ |url=https://economictimes.indiatimes.com/industry/transportation/shipping-/-transport/adani-ports-dredging-fleet-emerges-as-indias-largest-apsez/articleshow/62417074.cms |access-date=22 February 2023 |work=The Economic Times |date=8 January 2018}}|</ref>}},{{up}} {{INRConvert|32383|c}} (2025),{{up}} {{INRConvert|19025|c}} (2025),{{up}} {{INRConvert|11061|c}} (2025),{{up}} {{INRConvert|1.35|lc|lk|=|on}} (2025),{{up}} {{INRConvert|64973|c}} (2025),"2,919 (2024)","{{plainlist|
*Adani Logistics|ref|{{cite news |last1=Dhanjal |first1=Swaraj Singh |title=Adani Logistics to buy Navkar's inland container depot in Gujarat for ₹835 cr |url=https://www.livemint.com/companies/news/adani-logistics-to-buy-navkar-s-inland-container-depot-in-gujarat-for-835-cr-11660668561410.html |access-date=4 February 2023 |work=mint |date=17 August 2022 |language=en}}|</ref>|
*Sarguja Rail Corridor|ref|{{cite news |title=NCLT approves APSEZ's composite scheme to acquire Sarguja Rail Corridor |url=https://economictimes.indiatimes.com/industry/transportation/shipping-/-transport/nclt-approves-apsezs-composite-scheme-to-acquire-sarguja-rail-corridor/articleshow/89219539.cms |access-date=4 February 2023 |work=The Economic Times |date=30 January 2022}}|</ref>}} *Sarguja Rail Corridor",[[Adani Group]],{{Official URL}},Financials {{as of|2025|03|31|lc|=|y|df|=|yes}} .,Adani Ports & SEZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Paints Ltd.,Asian paints logo.svg,250px,Asian Oil and Paint Company Pvt. Ltd. (1945–1965) <br/> Asian Paints (India) Pvt. Ltd. (1965–1973),[[Public company|Public]],"{{plainlist|
*|BSE|50082|
*|NSE|ASIANPAINT|
*[[BSE SENSEX]] constituent
*[[NIFTY 50|NSE NIFTY 50]] constituent}} {{BSE|50082}} * {{NSE|ASIANPAINT}} *[[BSE SENSEX]] constituent
*[[NIFTY 50|NSE NIFTY 50]] constituent",{{start date and age|df|=|yes|1942|02|01}},,,,"{{plainlist| 
*Manish Choksi ([[Vice Chairman]])
*Amit Syngle ([[CEO]])}}",Worldwide,INE021A01026,[[Chemical industry|Chemicals]],"{{plainlist| 
*[[Chemical substance|Chemicals]]
*[[Paints|Decorative paints]]
*[[automotive restoration|Industrial finishing products]] 
*[[Industrial coating|Coatings]]}}",{{increase}} {{INRConvert|36183|c}} (2024),{{increase}} {{INRConvert|7215|c}} (2024),{{increase}} {{INRConvert|5558|c}} (2024),{{increase}} {{INRConvert|29924|c}} (2024),{{increase}} {{INRConvert|19424|c}} (2024),"9,482 permanent & 21,189 contractual (2024)",,,{{URL|https://www.asianpaints.com/|asianpaints.com}},Financials {{as of|2024|03|31|lc|=|y|df|=|yes}} .,Asian Paints,"{{plainlist| *Champaklal Choksey
*Chimanlal Choksi
*Suryakant Dani
*Arvind Vakil|ref| name=""Business Insider""}}","[[Mumbai]], [[Maharashtra]]",India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axis Bank Limited,AXISBank Logo.svg,,,[[Public company|Public]],{{ubl|BSE|532215|NSE|AXISBANK|LSE|AXB|[[BSE SENSEX]] constituent|[[NIFTY 50|NSE NIFTY 50]] constituent}} {{BSE|532215}} {{NSE|AXISBANK}} {{LSE|AXB}},{{start date and age|1993|12|03|df|=|y}} as ''UTI Bank'',,,"[[Mumbai]], [[Maharashtra]]",{{unbulleted list|[[Amitabh Chaudhry]] ([[Chief executive officer|MD & CEO]])|Shri Rakesh Makhija ([[chairperson]])}},,{{ISIN|sl|=|n|pl|=|y|INE238A01034}},[[Financial services]],{{ubl|[[Retail banking]]|[[Corporate banking]]|[[Investment banking]]|[[Mortgage loan]]s| [[Private banking]]|[[Wealth management]]|[[Asset management]]|[[Investment management]]}},{{Increase}} {{INRConvert|155917|c}},{{Increase}} {{INRConvert|44888|c}},{{increase}} {{INRConvert|28055|c}},{{Increase}} {{INRConvert|1656962|c}},{{Increase}} {{INRConvert|185433|c}},"104,333",{{Unbulleted_list|Axis Asset Management Company Ltd.|[[Axis Mutual Fund]] Trustee Ltd.|Axis Capital Ltd.|Axis Finance Ltd.|Axis Securities Ltd.|A.TREDS Ltd.|Axis Bank UK Ltd.|Axis Trustee Services Ltd.|[[Freecharge]]|Accelyst Solutions Private Ltd.|Axis Private Equity Ltd.|ref|{{cite web|url=https://www.axisbank.com/annual-report-2018-2019/axis_2018-19.pdf|title=Axis Bank Annual Report 2018-2019}}|</ref>}},,{{URL|www.axis.bank.in}},,Axis Bank,,,,Axis Bank Logo,2025,2025,2025,2025,2025,{{Unbulleted_list|[[Life Insurance Corporation]] (9.19%)|[[General Insurance Corporation of India]] (1.15%)|[[New India Assurance|The New India Assurance Company Limited]] (0.74%)}},as of March 2024,India,5706,December 2024,Axis House,9.35% (December 2019),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bajaj Finance Limited,Bajaj Finance Logo.svg,,Bajaj Auto Finance Limited (1987–2025),[[Public]],"{{BSE|500034}} <br /> {{NSE|BAJFINANCE}} <br />
[[BSE SENSEX]] constituent<br />[[NIFTY 50|NSE NIFTY 50]] constituent",{{Start date and age|1987|03|25|df|=|yes}},[[Rahul Bajaj]],,,{{ubl|[[Sanjiv Bajaj]]|Rajeev Jain|ref|{{cite web|title=How Rajeev Jain is Transforming Bajaj Finance|url=https://www.businesstoday.in/magazine/corporate/story/how-rajeev-jain-is-transforming-bajaj-finance-324764-2022-03-04|first=Anand|last=Adhikari|access-date=30 April 2022|website=[[Business Today (India)]]|date=4 March 2022|archive-date=12 April 2022|archive-url=https://web.archive.org/web/20220412104334/https://www.businesstoday.in/magazine/corporate/story/how-rajeev-jain-is-transforming-bajaj-finance-324764-2022-03-04|url-status=live}}|</ref>}},,{{ISIN|sl|=|n|pl|=|y|INE296A01024}},[[Financial services]],"[[Lending]], [[fixed deposits]], [[mutual funds]]",{{increase}} {{INRConvert|69725|c}} (2025),{{up}} {{INRConvert|26388|c}} (2025),{{up}} {{INRConvert|16779|c}} (2025),{{up}} {{INRConvert|367870|c}} (2025),{{up}} {{INRConvert|96700|c}} (2025),,Bajaj Financial Services<br>Bajaj Housing Finance<br>Bajaj Financial Securities,[[Bajaj Finserv]] (52.49%),{{URL|https://www.bajajfinance.com/}},Financials {{as of|2024|03|31|lc|=|y|df|=|yes}} .,Bajaj Finance,,Pune,India,,,,,,,,,,,,,,{{up}} {{INRConvert|462250|c}} (Q2 2025),"{{plainlist|
* [[CRISIL]] AAA+/Stable Long-term debt|ref|{{cite web | date=2023-08-01 | url=https://www.financialexpress.com/industry/banking-finance/bajaj-finance-deposits-cross-rs-50000-crore/3194408/ | title=Bajaj Finance deposits cross Rs 50,000 crore |access-date=2023-06-30 |website=[[The Financial Express (India)|The Financial Express]] | language=en}}|</ref>|
* [[ICRA Limited|ICRA]] AAA+/Stable Non-convertible debenture|ref|{{cite web | date=2023-06-06 | url=https://www.icra.in/Rationale/ShowRationaleReport/?Id=120310 | title=Bajaj Finance Ltd.: Ratings reaffirmed | access-date=2023-06-30 | website=[[ICRA Limited]] | language=en | archive-date=30 August 2023 | archive-url=https://web.archive.org/web/20230830150501/https://www.icra.in/Rationale/ShowRationaleReport/?Id=120310 | url-status=live }}|</ref>|
* CARE AAA+/Stable Non-convertible debenture|ref|{{cite web | date=2023-01-05 | url=https://www.careratings.com/upload/CompanyFiles/PR/05012023060735_Bajaj_Finance_Limited.pdf | title=Bajaj Finance Ltd Revised |access-date=2023-06-30 |website=CAREEdge | language=en}}|</ref>|}} * [[ICRA Limited|ICRA]] AAA+/Stable Non-convertible debenture * CARE AAA+/Stable Non-convertible debenture",,,,,,,,,,,,,,,,,,,,,,,,,,,
Bajaj Finserv Limited,Bajaj Finserv Logo.svg,,,[[Public Company|Public]],"{{plainlist|
*|BSE|532978|
*|NSE|BAJAJFINSV|
*[[NIFTY 50|NSE NIFTY 50]] constituent}} {{BSE|532978}} * {{NSE|BAJAJFINSV}} *[[NIFTY 50|NSE NIFTY 50]] constituent",{{Start date and age|2007|5}},[[Jamnalal Bajaj]],,,[[Sanjiv Bajaj]] ([[chairman]] & Managing Director),,{{ISIN|sl|=|n|pl|=|y|INE918I01026}},[[Financial services]],"{{ubl|[[Insurance]] |[[General insurance]] |[[Health insurance]] |[[Vehicle insurance]] |[[Travel insurance]] |[[Home insurance]] |[[Life insurance]] |[[Mortgage loan]]s |[[Investment management]] | [[Asset management]] |[[Mutual fund]]s |[[Credit card]]s|ref|{{cite web |title=Apply for Loans, EMI Finance, Credit Card and Insurance – Bajaj Finserv |url=http://www.bajajfinserv.in/ |website=bajajfinserv.in}}|</ref>}}",{{increase}} {{INRConvert|133821.05|c}},{{increase}} {{INRConvert|47646|c}},{{increase}} {{INRConvert|17539.65|c}},{{increase}} {{INRConvert|405509|c}},{{increase}} {{INRConvert|72346|c}},105 (2022),"{{ubl|[[Bajaj Finance]]|ref| name=""auto""|{{Cite web|url=https://www.moneycontrol.com/annual-report/bajajfinserv/chairmans-speech/BF04|title=Bajaj Finserv Chairman's Speech > Finance - Investments > Chairman's Speech from Bajaj Finserv - BSE: 532978, NSE: BAJAJFINSV|website=www.moneycontrol.com|access-date=23 January 2019|archive-date=24 January 2019|archive-url=https://web.archive.org/web/20190124041317/https://www.moneycontrol.com/annual-report/bajajfinserv/chairmans-speech/BF04|url-status=live}}|</ref>|<br />Bajaj Allianz General Insurance<br />Bajaj Allianz Life Insurance<br />Bajaj Housing Finance|ref| name=""BalSheet""|<br />Bajaj Finserv Markets |ref| name=""ibs""|{{Cite web|url=https://ibsintelligence.com/ibsi-news/acko-partners-with-bajaj-finservs-subsidiary-finserv-markets/|title=ACKO partners with Bajaj Finserv's subsidiary – Finserv MARKETS|website=ibsintelligence.com|access-date=5 January 2021|archive-date=26 September 2022|archive-url=https://web.archive.org/web/20220926100305/https://ibsintelligence.com/ibsi-news/acko-partners-with-bajaj-finservs-subsidiary-finserv-markets/|url-status=live}}|</ref>|
|Bajaj Finserv Asset Management Company
|Bajaj Finserv Direct (Bajaj Markets)
|Bajaj Finserv Health}} <br />Bajaj Allianz General Insurance<br />Bajaj Allianz Life Insurance<br />Bajaj Housing Finance <br />Bajaj Finserv Markets",[[Bajaj Group]],{{URL|http://www.bajajfinserv.in/}},,Bajaj Finserv,,"[[Pune]], [[Maharashtra]], India",,,2025,2025,2025,2024,2025,,,,,,,,,,"File:Bajaj Finserv Head Office, Pune.jpg",250px,Bajaj Finserv's headquarters in [[Pune]],,,,,,,,,,,,,,,,,,,,,,,,
Bharat Electronics Limited,Bharat Electronics logo.svg,250px,,[[Public company|Public]],{{ubl|BSE|500049|NSE|BEL|[[BSE SENSEX]] constituent|[[NIFTY 50|NSE NIFTY 50]] constituent}} {{BSE|500049}} {{NSE|BEL}},{{Start date and age|1954}},,,,Manoj Jain {{small|([[Chairman]] & [[Managing Director]])}},Worldwide,,"{{plainlist|
*[[Aerospace manufacturer|Aerospace]]
*[[Avionics]]
*[[Electronics]]
*[[Satellite communication]]
*[[Defence (military)|Defence]]}}","{{plainlist|
*[[Avionics]]
*[[Electronics]]
*[[Radar]]s
*[[Weapon systems engineering|Weapon systems]]
*[[Electronic voting machine]]s
*[[Identification Friend or Foe|IFF]]
*C4I systems}}",{{Increase}} {{INRConvert|24511|c}} (2025),{{increase}} {{INRConvert|7099|c}} (2025),{{increase}} {{INRConvert|5322|c}} (2025),{{increase}} {{INRConvert|40418|c}} (2025),{{increase}} {{INRConvert|19697|c}} (2025),"8,937 permanent employees<br>2,507 permanent workers (2024)",,,{{official URL}},Financials {{as of|2025|03|31|lc|=|y|df|=|yes}} .,Bharat Electronics,,"[[Bangalore]], [[Karnataka]]",India,,,,,,,,,,,,,,,,,,,{{ubl|[[Government of India]] (51.14%)|[[Life Insurance Corporation]] (7.5%)|[[Bank of Baroda]] (4%)}},,,,,,,,,,,,,,,,,,,,,,,
Bharti Airtel,Bharti Airtel Logo.svg,150px,,[[Public company|Public]],{{ubl|BSE|532454|NSE|BHARTIARTL|[[BSE SENSEX]] constituent|[[NIFTY 50|NSE NIFTY 50]] constituent}} {{BSE|532454}} {{NSE|BHARTIARTL}},{{Start date and age|1995|07|07|df|=|y}},[[Sunil Mittal]],,,"{{ubl|[[Sunil Mittal]] ([[chairman]])|[[Gopal Vittal]] (MD,  [[Vice chairman]] & [[Chief executive officer|CEO]])}}","South Asia, Africa, Channel Islands",{{ISIN|sl|=|n|pl|=|y|INE397D01024}},[[Telecommunications]],{{ubl|[[Landline|Fixed line telephone]]|[[Mobile telephony]]|[[Broadband]]|[[Satellite television]]|[[Payments bank]]|[[Digital television]]|[[Streaming television|Internet television]]|[[Internet Protocol television|IPTV]]|[[Over-the-top media service|OTT services]]}},{{Increase}} {{INRConvert|172985|c}} (2025),{{Increase}} {{INRConvert|94249|c}} (2025),{{Increase}} {{INRConvert|37481|c}} (2025),{{Increase}} {{INRConvert|514360|c}} (2025),{{Increase}} {{INRConvert|113671|c}} (2025),"24,420 (March 2025)","{{plainlist|
*[[Airtel India]]
*[[Robi Axiata PLC]]
*[[Airtel Payments Bank]]
*[[Airtel digital TV]]
*[[Airtel-Vodafone]] (50%)
*[[Indus Towers]] (50.005%)}}",,{{URL|https://airtel.com}},Financials {{as of|2025|03|31|lc|=|y}} .,Bharti Airtel,,,,,,,,,,,,,,,"[[New Delhi]], India",,,,,,Bharti Airtel registered office in [[Gurgaon]] since March 2024,{{ubl|[[Bharti Enterprises|Bharti Telecom]] (40.47%)|[[Singtel]] (8.32%)|[[Bharti Enterprises|Indian Continent Investment Limited]] (2.47%)|[[Public float]] (48.74%)|ref|{{cite news |title=Latest Shareholding Pattern - Bharti Airtel Ltd. |url=https://trendlyne.com/equity/share-holding/187/BHARTIARTL/latest/bharti-airtel-ltd/ |access-date=17 May 2023 |work=Trendlyne.com |language=en}}|</ref>}},Airtel,{{Increase}} ~600 million (September 2025),"{{plainlist|
*Airtel Asia
*Airtel Europe
*[[Airtel Africa]]}}",,,,,,,,,,,,,,,,,,,,
