name,logo,logo_size,former_name,type,traded_as,foundation,founder,hq_location,hq_location_city,key_people,area_served,ISIN,industry,products,revenue,operating_income,net_income,assets,equity,num_employees,subsid,parent,homepage,footnotes,_company_name,founders,location_city,location_country,logo_alt,revenue_year,income_year,net_income_year,assets_year,equity_year,owner,num_employees_year,hq_location_country,num_locations,num_locations_year,location,ratio,aum,rating,image,image_size,image_caption,owners,trading_name,members,divisions,services,founded,predecessor,image_alt,logo_caption,website,production,production_year,subject_name,image_link,players,designer,publisher,ages,setup_time,playing_time,random_chance,skills,fate,successor
  | [[Finance|Automotive finance]]
  | [[Service (motor vehicle)|Vehicle service]]}}",,,,,,"{{Increase}} 2,135,323 units (2024)",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Power Grid,,,,,,,,,,,,,,,,,,,,,"In ''Power Grid'', players compete to build up electrical networks from scratch and be the player to power the most cities at the end of the game.",,,,,,,,"Cover of the game, showing a man turning a control knob",,,,,''Power Grid'',[[Image:PGbox cover cropped.jpg|150px|Box cover of ''Power Grid'' by Friedemann Friese]],2 to 6,[[Friedemann Friese]],[[Rio Grande Games]],12 and up,10–15 minutes,120+ minutes,Medium,"Buying, resource management",,
Reliance Industries Limited,Reliance Industries.svg,200px,Reliance Commercial Corporation (1958–1966)<br /> Reliance Textiles and Engineers (1966–1973),[[public company|Public]],{{Unbulleted list|BSE|500325|NSE|RELIANCE|LSE|RIGD|[[BSE SENSEX]] constituent|[[NIFTY 50|NSE NIFTY 50]] constituent}} {{BSE|500325}} {{NSE|RELIANCE}} {{LSE|RIGD}},{{start date and age|1958|df|=|yes}},[[Dhirubhai Ambani]],,,[[Mukesh Ambani]]<br /> (Chairman & Managing Director),Worldwide,{{ISIN|sl|=|n|pl|=|y|INE002A01018}},[[Conglomerate (company)|Conglomerate]],[[Petroleum]]<br/>[[Natural gas]]<br/>[[Chemical industry|Chemical]]<br/>[[Petrochemical]]<br/>[[Oil refining]]<br/>[[Retail]]<br/>[[Telecommunications]]<br/>[[Mass Media|Media]]<br/>[[Entertainment]],{{up}} {{INRConvert|9.98|lc|lk|=|on}},{{up}} {{INRConvert|1.83|lc}},{{up}} {{INRConvert|81309|c}},{{up}} {{INRConvert|19.50|lc}},{{up}} {{INRConvert|10.09|lc}},"347,362 (2024)",{{collapsible list|[[Jio Platforms]] (67.03%)<br/>[[Reliance Retail]]<br/>[[Jio-bp]] (51%)<br/>[[JioStar]] (16.34%)<br/>[[Network18 Group]] (56.89%)<br/>[[DEN Networks]] (78.62%)<br/>[[Hathway]] (71.95%)<br/>[[Alok Industries]] (75%)<br/>[[Reliance Foundation]]<br/>Indiawin Sports<br/>[[Relicord]]<br/>[[Reliance Institute of Life Sciences]]<br/>[[Reliance Industrial Infrastructure]] (45.43%)<br/>Sterling and Wilson Renewable Energy<br/>Reliance New Energy Ltd.<br />[[Sikka Port|Sikka Ports & Terminals Limited]]<br/>[[Renewable Energy Corporation]]}},,{{official URL}},Financials {{as of|2025|03|31|lc|=|y|df|=|yes}} .,Reliance Industries,,"[[Mumbai]], [[Maharashtra]]",,,2025,2025,2025,2025,2025,[[Mukesh Ambani|Ambani family]] (51%),,India,,,,,,,,250px,,,,,,,,,,,,,,,,,,,,,,,,,
State Bank of India (SBI),State Bank of India.svg,150px,,[[Public company|Public]],{{ubl|NSE|SBIN|BSE|500112|LSE|SBID|[[BSE SENSEX]] constituent|[[NIFTY 50|NSE NIFTY 50]] constituent}} {{NSE|SBIN}} {{BSE|500112}} {{LSE|SBID}},"{{start date and age|df|=|y|1955|07|01}} <br /> State Bank of India
---- {{ubl|
|start date|1921|01|27|df|=|yes|<br /> [[Imperial Bank of India]]
:|start date|1806|06|02|df|=|yes|<br /> [[Bank of Calcutta]]
:|start date|1840|04|15|df|=|yes|<br /> [[Bank of Bombay]]
:|start date|1843|07|01|df|=|yes|<br /> [[Bank of Madras]]}} {{start date|1921|01|27|df|=|yes}} <br /> [[Imperial Bank of India]]
: {{start date|1806|06|02|df|=|yes}} <br /> [[Bank of Calcutta]]
: {{start date|1840|04|15|df|=|yes}} <br /> [[Bank of Bombay]]
: {{start date|1843|07|01|df|=|yes}} <br /> [[Bank of Madras]]",,,,"{{ubl
  | [[Challa Sreenivasulu Setty |C. Sreenivasulu Setty]] ([[List of chairmen of the State Bank of India|chairman]])|ref|{{cite web|url=https://www.livemint.com/companies/news/govt-appoints-dinesh-kumar-khara-as-sbi-chairman-for-3-years-11602000392605.html|work=livemint|title=govt-appoints-dinesh-kumar-khara-as-sbi-chairman-for-3-years|date=6 October 2020|access-date=7 October 2020}}|</ref>|
  | Kameshwar Rao Kodavanti ([[Chief Financial Officer|CFO]])|ref|{{cite news|url= https://economictimes.indiatimes.com/industry/banking/finance/banking/sbi-appoints-kameshwar-rao-kodavanti-as-cfo/articleshow/101419102.cms|title= SBI appoints Kameshwar Rao Kodavanti as CFO|newspaper= The Economic Times|date= July 2023}}|</ref>|}}",India,{{ISIN|sl|=|n|pl|=|y|INE062A01020}},"[[Banking]], [[financial services]]",{{ubl|[[Retail banking]]|[[Corporate banking]]|[[Investment banking]]|[[Mortgage loan]]s| [[Private banking]]|[[Wealth management]]|[[Asset management]]|[[Investment management]]|[[Credit cards]]|[[Insurance]]}},{{increase}} {{INRConvert|5.24|t|lk|=|r}},{{increase}} {{INRConvert|1.10|t|lk|=|r}},{{increase}} {{INRConvert|709.1|b}},{{increase}} {{INRConvert|66.76|t|lk|=|r}},{{increase}} {{INRConvert|4.86|t|lk|=|r}},"2,36,221",{{ubl|[[SBI Life Insurance Company|SBI Life Insurance Ltd]]|[[SBI Mutual Fund]] (63%)|[[SBI Cards]] and Payment Services Ltd (68.63%)|[[SBI General Insurance]] (69.11%)}},,,,State Bank of India,,,,,2025,2025,2025,2025,2025,[[Government of India]] (55.50%),,,"22,980 branches <br/>62,200 ATMs",,"State Bank Bhavan, M.C. Road, [[Nariman Point]], [[Mumbai]], [[Maharashtra]], India",[[Tier 1 capital|Tier 1]] 14.28%(2024),,"{{plainlist|
* [[S&P Global Ratings|S&P]] BBB− / A-3/ Stable|ref| name=""ratings""|
* [[Moody's Investors Service|Moody's]] Baa3/ P-3/ Stable|ref| name=""ratings""|
* [[Fitch Ratings|Fitch]] BBB− / F-3/ Stable|ref| name=""ratings""|{{cite web | url=https://sbi.co.in/web/investor-relations/bank-ratings | title=Bank Ratings - Investor Relations }}|</ref>|}} * [[Moody's Investors Service|Moody's]] Baa3/ P-3/ Stable * [[Fitch Ratings|Fitch]] BBB− / F-3/ Stable",State Bank of India Corporate Centre Mumbai.jpg,,"State Bank Bhavan, [[Nariman Point]], [[Mumbai]]",,,,,,,"{{Plainlist|
[[Imperial Bank of India]]<br />(1921 |endash| 1955)
:[[Bank of Calcutta]]<br />(1806 |endash| 1921)
:[[Bank of Bombay]]<br />(1840 |endash| 1921)
:[[Bank of Madras]]<br />(1843 |endash| 1921)}} {{endash}} 1955)
:[[Bank of Calcutta]]<br />(1806 {{endash}} 1921)
:[[Bank of Bombay]]<br />(1840 {{endash}} 1921)
:[[Bank of Madras]]<br />(1843 {{endash}} 1921)",SBI Headquarters,The Banker to Every Indian,{{ubl|URL|https://sbi.bank.in/|URL|https://retail.sbi.bank.in/}} {{URL|https://sbi.bank.in/}} {{URL|https://retail.sbi.bank.in/}},,,,,,,,,,,,,,
Sun Pharmaceutical Industries Limited,Sun Pharma logo.svg,120px,,[[Public company|Public]],{{Unbulleted list|BSE|524715|NSE|SUNPHARMA|[[BSE SENSEX]] constituent|[[NIFTY 50|NSE NIFTY 50]] constituent}} {{BSE|524715}} {{NSE|SUNPHARMA}},,[[Dilip Shanghvi]],,"[[Mumbai]], [[Maharashtra]]",Dilip Shanghvi (MD),Worldwide,INE044A01036,[[Pharmaceutical industry|Pharmaceuticals]],{{hlist|[[Medication|Pharmaceutical drugs]]| [[generic drug]]s| [[antiviral drug]]s| [[over-the-counter drug]]s| [[vaccine]]s| [[Medical diagnosis|diagnostics]]| [[contact lens]]es| [[Veterinary medicine|animal health]]| [[dietary supplements]]|[[protein supplement]]s}},{{profit}} {{INRConvert|52578|c}} (2025),{{profit}} {{INRConvert|15271|c}} (2025),{{profit}} {{INRConvert|11984|c}} (2025),{{profit}} {{INRConvert|92100|c}} (2025),{{profit}} {{INRConvert|72485|c}} (2025),"41,000+",,,,Financials {{as of|2025|03|31|lc|=|y|df|=|yes}} .,Sun Pharma,,,,,,,,,,Dilip Shanghvi family (54.48%),2023,India,,,,,,,,250px,"Sun Pharma headquarters in [[Mumbai]], India",,,,,,{{start date and age|1983}},,,,{{URL|https://sunpharma.com/}},,,,,,,,,,,,,,
Tata Consultancy Services Limited,Tata Consultancy Services.svg,,,[[Public company|Public]],{{Unbulleted list|BSE|532540|NSE|TCS|[[BSE SENSEX]] constituent|[[NIFTY 50|NSE NIFTY 50]] constituent}} {{BSE|532540}} {{NSE|TCS}},{{start date and age|df|=|yes|1968}},[[J. R. D. Tata]],,,[[Natarajan Chandrasekaran]]<br> {{small|(Chairman)}} <br/>K. Krithivasan<br> {{small|([[Managing director|MD]] & [[CEO]])}},Worldwide,{{ISIN|sl|=|n|pl|=|y|INE467B01029}},[[Information technology]]<br>[[Consulting]]<br>[[Outsourcing]],,{{Increase}} {{INRConvert|259286|c}},{{Increase}} {{INRConvert|65331|c}},{{Increase}} {{INRConvert|48797|c}},{{Increase}} {{INRConvert|159629|c}},{{Increase}} {{INRConvert|95771|c}},"593,314 (September 2025)",{{Unbulleted list|[[TRDDC]]}},[[Tata Group]],{{URL|https://www.tcs.com/}},Financials {{as of|2025|03|31|lc|=|y|df|=|yes}} .,Tata Consultancy Services,,,,TCS Logo,2025,2025,2025,2025,2025,[[Tata Sons]] (71.74%),,,,,"[[Mumbai]], [[Maharashtra]], India",,,,File:TCS SIPCOT Building.jpg,,"A TCS campus at [[SIPCOT IT Park|SIPCOT]], [[Chennai]]",,,,,,,,TCS SIPCOT Office,,,,,,,,,,,,,,,,
Tata Motors Limited,Tata Motors Logo.svg,,"{{unbulleted list
  | Tata Engineering & Locomotive Co. (TELCO) (1945-1962)
| <!-- TML Commercial Vehicles Ltd. (Oct 2025) is the demrged entity that was later renamed as Tata Motors Ltd on 29 Oct 2025; while the Original Tata Motors Ltd. became the Tata Motors Passenger Vehicles Ltd (TMPVL) on 13 Oct 2025.  -->
|}}",[[Public company|Public]],{{Unbulleted list|BSE|500570|NSE|TATAMOTORS|[[BSE SENSEX]] constituent|[[NIFTY 50|NSE NIFTY 50]] constituent}} {{BSE|500570}} {{NSE|TATAMOTORS}},{{Start date and age|1945}},[[J. R. D. Tata]],,,{{ubl|[[Natarajan Chandrasekaran|N. Chandrasekaran]] ([[chairman]])|Shailesh Chandra ([[Chief Executive Officer|CEO]])|[[PB Balaji]] ([[Chief financial officer|CFO]])|ref|{{cite web |title=Tata Motors Ltd |url=https://www.reuters.com/markets/companies/TAMO.NS/ |publisher=Reuters |access-date=19 May 2024}}|</ref>}},Worldwide,{{ISIN|sl|=|n|pl|=|y|IN9155A01020}},[[Automotive industry|Automotive]],"{{unbulleted list
  | [[Car|Automobiles]]
  | [[Luxury vehicles]]
  | [[Commercial vehicles]]
  | [[Bus]]
  | [[Van]]
  | [[List of auto parts|Automotive parts]]
  | [[Pickup trucks]]
  | [[SUVs]]}}",{{increase}} {{INRConvert|445939|c}} (FY2025),{{profit}} {{INRConvert|33780|c}} (FY2025),{{down}} {{INRConvert|28149|c}} (FY2025),{{profit}} {{INRConvert|378642|c}} (FY2025),{{profit}} {{INRConvert|122754|c}} (FY2025),"91,811 (FY2024)","{{plainlist|
* [[Tata Motors Cars|Tata Motors Passenger Vehicles Ltd.]]
* [[Iveco]]
* [[Jaguar Land Rover]]
* [[Tata Daewoo]]
* [[Tata Marcopolo]]
* [[Tata Technologies]]
* [[Tata Hitachi Construction Machinery]]}}",[[Tata Group]],{{URL|https://www.tatamotors.com/|tatamotors.com}},,Tata Motors,,,,,,,,,,,,,,,"[[Mumbai]], [[Maharashtra]], India",,,,"Tata_EVision,_GIMS_2018,_Le_Grand-Saconnex_(1X7A1189).jpg",,,,,,,"{{unbulleted list
  | [[Vehicle leasing]]
  | [[Service (motor vehicle)|Vehicle service]]}}",,,,,,1.1 million (2021),,,,,,,,,,,,Demerged into TMPVL and TMLCV on 1st Oct 2025,"{{unbulleted list
  | Tata Motors Ltd. <small>(formerly TMLCV Ltd.)</small>
  | [[Tata Motors Cars|Tata Motors Passenger Vehicles Ltd.]]}}"
Tata Steel Limited,Tata Steel Logo.svg,250px,Tata Iron and Steel Company Limited,[[Public company|Public]],"{{Unbulleted list|BSE|500470|NSE|TATASTEEL|
|[[BSE SENSEX]] constituent|[[NIFTY 50|NSE NIFTY 50]] constituent}} {{BSE|500470}} {{NSE|TATASTEEL}}","{{Start date and age|df|=|yes|1907|8|26}} at [[Jamshedpur]], [[Bihar]] (now in [[Jharkhand]]), India",,,,[[T. V. Narendran]]<br /> {{small|(MD & CEO)}},Worldwide,{{ISIN|sl|=|n|pl|=|y|INE081A01020}},[[Steel industry|Steel]] <br /> [[Iron industry|Iron]],[[Steel]] <br /> [[Long steel products]] <br /> [[Structural steel]] <br />[[Wire|Wire products]] <br /> [[Steel casing pipe]]s <br /> [[Household goods]],{{Decrease}} {{INRConvert|220083|c}} (FY2025),{{Increase}} {{INRConvert|9268|c}} (FY2025),{{Increase}} {{INRConvert|3174|c}} (FY2025),{{Increase}} {{INRConvert|279395|c}} (FY2025),{{Decrease}} {{INRConvert|91353|c}} (FY2025),"{{up}} 78,321 (2024)",Tata Steel UK<br />[[Tata Steel Netherlands]]<br />Tata Steel Thailand<br />[[Jamshedpur FC]]<br />Tata Robins Fraser Ltd.<br />Mjunction,[[Tata Group]],{{URL|http://www.tatasteel.com}},Financials {{as of|2025|03|31|lc|=|y|df|=|yes}} .,Tata Steel,[[Jamsetji Tata]]<br />[[Dorabji Tata]],,,,,,,,,,,,,,"[[Mumbai]], [[Maharashtra]], India <br /> {{coord|18.9316|72.8327|type:landmark_region:IN|display|=|inline,title}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TM Logo Color Pos RGB.svg,,Mahindra British Telecom (1986–2006),[[public company|Public]],{{Unbulleted list|BSE|532755|NSE|TECHM|[[BSE SENSEX]] constituent|[[NIFTY 50|NSE NIFTY 50]] constituent}} {{BSE|532755}} {{NSE|TECHM}},,[[Anand Mahindra]],,,"{{ubl
| [[Anand Mahindra]] |small|(Chairman)| 
| Mohit Joshi |small|(MD & CEO)|ref|{{cite web | url=https://www.techmahindra.com/en-in/techm-appoints-mohit-joshi-as-md-and-ceo-designate/ | title=Tech Mahindra appoints Mohit Joshi as MD & CEO designate | date=11 March 2023 }}|</ref>|
| Atul Soneja |small|(COO)|ref|{{cite web | url=https://www.thehindubusinessline.com/info-tech/experts-call-for-building-digital-infra-upskilling-to-tap-it-talent-in-small-cities/article69225681.ece | title=Experts call for building digital infra, upskilling to tap IT talent in small cities | date=16 Feb 2025}}|</ref>|
| Rohit Anand |small|(CFO)|ref|{{cite web | url=https://timesofindia.indiatimes.com/technology/tech-news/this-indian-it-company-added-highest-number-of-employees-in-second-quarter-of-fy2025-among-the-top-5-it-companies-in-india/articleshow/114477437.cms
 | title=This Indian IT company added highest number of employees in second quarter of FY2025 among the Top 5 IT companies in India | date=23 Oct 2024}}|</ref>|}} {{small|(Chairman)}} {{small|(MD & CEO)}} {{small|(COO)}} {{small|(CFO)}}",Worldwide,{{ISIN|sl|=|n|pl|=|y|INE669C01036}},[[Information technology]]<br>[[Consulting]]<br>[[Outsourcing]],,{{increase}} {{INRConvert|53847|c}} (2025),{{increase}} {{INRConvert|5653|c}} (2025),{{increase}} {{INRConvert|4499|c}} (2025),{{increase}} {{INRConvert|44494|c}},{{increase}} {{INRConvert|27791|c}},"148,731 (March 2025)",,[[Mahindra Group]],{{URL|http://www.techmahindra.com/}},Financials {{as of|2025|03|31|lc|=|y}} .,Tech Mahindra,,,,,,,,2025,2025,,,,,,"[[Pune]], [[Maharashtra]], India",,,,,,,,,,,,{{Start date and age|24 October 1986}},,,,,,,,,,,,,,,,,,
Titan Company Limited,"Logo of Titan Company, May 2018.svg",180px,,[[Public company|Public]],{{Unbulleted list |BSE|500114|NSE|TITAN|[[BSE SENSEX]] constituent|[[NIFTY 50|NSE NIFTY 50]] constituent}} {{BSE|500114}} {{NSE|TITAN}},{{Start date and age|1984}},[[Xerxes Desai]],,,{{Unbulleted_list|Arun Roy |small|([[Chairman]])|C. K. Venkataraman |small|([[CEO]]|)|Ashok Sharma |small|([[Chief financial officer|CFO]]|)|ref|{{cite web |title=Titan Company Ltd |url=https://www.reuters.com/markets/companies/TITN.NS |website=Reuters |access-date=21 June 2024}}|</ref>}} {{small|([[Chairman]])}} {{small|([[CEO]]}} ) {{small|([[Chief financial officer|CFO]]}} ),Worldwide,{{ISIN|sl|=|n|pl|=|y|INE280A01028}},[[Lifestyle business|Lifestyle]],"[[Watches]], [[Jewellery]], [[Bags]], [[Perfume]]s, [[Belt (clothing)|Belts]], [[Wallets]] and [[Eyewear]]",{{increase}} {{INRConvert|60942|c}},{{increase}} {{INRConvert|4534|c}},{{increase}} {{INRConvert|3337|c}} (FY2025),{{increase}} {{INRConvert|40647|c}} (FY2025),{{increase}} {{INRConvert|11624|c}},"8,680 (2024)","{{Plainlist|
*Titan Engineering and Automation Limited}}",[[Tata Group]],{{URL|titancompany.in}},Financials {{as of|2025|03|31|lc|=|y|df|=|yes}} .,Titan Company,,"[[Bangalore]], [[Karnataka]]",India,,FY2025,FY2025,,,FY2025,,,,"2,000+ [[retail store]]s",,,,,,,,,"{{plainlist|
*[[Tamil Nadu Industrial Development Corporation|TIDCO]] (27.88%)
*[[Tata Sons]] (25.02%)|ref|{{cite news |last1=Nair |first1=Remya |title=Tatas got panned for Tanishq ad. But this state govt is the largest shareholder in Titan |url=https://theprint.in/economy/tatas-got-panned-for-tanishq-ad-but-this-state-govt-is-the-largest-shareholder-in-titan/531324/ |access-date=7 December 2021 |work=ThePrint |date=27 October 2020 |archive-date=7 December 2021 |archive-url=https://web.archive.org/web/20211207193204/https://theprint.in/economy/tatas-got-panned-for-tanishq-ad-but-this-state-govt-is-the-largest-shareholder-in-titan/531324/ |url-status=live }}|</ref>}}",,,,,,,,Logo of Titan Company,,,,,,,,,,,,,,,
UltraTech Cement Limited,Ultratech Cement Logo.svg,,,[[Public company|Public]],{{Unbulleted list|BSE|532538|NSE|ULTRACEMCO|[[BSE SENSEX]] constituent|[[NIFTY 50|NSE NIFTY 50]] constituent}} {{BSE|532538}} {{NSE|ULTRACEMCO}},{{start year and age|1983}},,,,"{{plainlist|
*K. C. Jhanwar (Managing Director)
*Vivek Agarwal (Director)}}",,{{ISIN|sl|=|n|pl|=|y|INE481G01011}},[[Building material]]s,[[Cement]],{{Increase}} {{INRConvert|76699|c}},{{Decrease}} {{INRConvert|7636|c}},{{Decrease}} {{INRConvert|6039|c}},{{Increase}} {{INRConvert|133697|c}},{{Increase}} {{INRConvert|70706|c}},"23,137 (excluding 50,516 non-permanent workers) (2024)",,[[Aditya Birla Group]],,Financials {{as of|2025|03|31|lc|=|y|df|=|yes}} .,UltraTech Cement,,,,,2025,2025,2025,2025,2025,[[Grasim Industries]] (56.11%),,,,,"[[Mumbai]], [[Maharashtra]], [[India]]",,,,,,,,,,,,,,,Logo of UltraTech Cement,{{URL|www.ultratechcement.com}},,,,,,,,,,,,,,
