name,logo,logo_size,type,traded_as,foundation,hq_location_city,hq_location_country,area_served,key_people,industry,products,revenue,net_income,num_employees,parent,predecessor,homepage,_company_name,image,location,areas_served,operating_income,assets,equity,divisions,subsid,ISIN,founder,num_locations,services,rating,owner,image_caption,location_city,location_country,former_names,revenue_year,income_year,assets_year,locations,trade_name,predecessors,brands,members,net_income_year,website,founded,hq_location,production,num_locations_year
Ambev S.A.,Ambev logo.svg,225px,[[Public company|Public]] [[subsidiary]],{{Unbulleted list|B3 (stock exchange)|cvm|=|23264|ABEV3|NYSE|ABEV|[[Ibovespa|Ibovespa Component]]}} {{B3 (stock exchange)|cvm|=|23264|ABEV3}} {{NYSE|ABEV}},{{Start date and age|1999}},[[São Paulo]],Brazil,"[[Brazil]], [[Latin America]], [[Canada]]",Jean Jereissati ([[chairman]] & [[CEO]]),[[drink industry|Beverage]],[[Beer]]s and [[soft drinks]],{{Increase}} [[United States dollar|US$]] 15.2 &nbsp;billion (2022),"{{increase}} US$ 2.8 billion (2022
)","41,000+",[[AB InBev]],[[Companhia Cervejaria Brahma]]<br>[[Antarctica Beer|Companhia Antarctica Paulista]],{{URL | https://www.ambev.com.br/}},AmBev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"América Móvil, S.A.B. de C.V.",Logo de América Móvil.svg,100px,[[Public company|Public]],{{BMV|AMX|6024}} <br /> {{New York Stock Exchange|AMX}} ([[American depositary receipt|ADR]])<br /> {{BMAD|MXP001691213|XAMXL}},{{start date and age|2000|09|25|df|=|yes}},,,,[[Carlos Slim Helú]] ([[Chairman|chairman emeritus]])<br />[[Carlos Slim Domit]] ([[chairman]])<br />Daniel Hajj Aboumrad ([[Chief executive officer|CEO]]),[[Telecommunication]]s[1,"[[Landline|Fixed-line]]<br>[[Mobile phone]]<br>[[Broadband]],<br>[[Digital television]]<br>[[IPTV]]<br>[[Digital Media]]<br>[[Internet of things]]",{{increase}} [[Mexican peso|MX$]]1.016 Trillion (''Fiscal Year Ended 31 December 2020''),{{increase}} [[Mexican peso|MX$]]51.027 Billion (''Fiscal Year Ended 31 December 2020''),"189,448 (2018)",,,{{URL|https://www.americamovil.com/}},América Móvil,Plaza_Carso_Mexico.jpg,"[[Plaza Carso]], [[Mexico City]], Mexico",[[Americas]]<br />[[Europe]],{{increase}} [[Mexican peso|MX$]]165.355 Billion (''Fiscal Year Ended 31 December 2020''),{{increase}} [[Mexican peso|MX$]]1.625 Trillion (''Fiscal Year Ended 31 December 2020''),{{increase}} [[Mexican peso|MX$]]315.118 Billion (''Fiscal Year Ended 31 December 2020''),[[Carso Global Telecom]]<br>Global Hitss,[[Claro Americas|Claro]]<br>[[Claro Americas|Claro TV]]<br>[[Claro Americas|Claro TV+]]<br>DLA Inc.<br>[[Embratel]]<br>[[KPN]] (16.1%)<br>Nextel Brazil <br>[[Nuestra Visión]]<br>Sección Amarilla<br>Sercotel<br>Speedy Movil<br>[[Telcel]]<br>[[Telekom Austria Group|A1 Group]] (59.1%)<br>[[Telmex]]<br>[[Telnor]]<br>Telvista<br> {{ill|Uno TV|es}},,,,,,,,,,,,,,,,,,,,,,,,
Banco Bradesco S.A.,,250px,[[S.A. (corporation)|Sociedade Anônima]],{{B3 (stock exchange)|cvm|=|906|BBDC3|BBDC4}} <br> {{nyse|BBD}} <br> {{BMAD|BRBBDCACNPR8|XBBDC}} <br>[[Ibovespa|Ibovespa Component]],"{{start date and age|1943|03|10}} in [[Marília]], [[São Paulo (state)|São Paulo]], [[Brazil]]",[[Osasco]],[[Brazil]],Worldwide,"Luiz Carlos Trabuco Cappi <small>([[Chairman]])</small>,<br />Alexandre da Silva Glüher <small>([[Vice Chairman]])</small>,<br />Marcelo de Araújo Noronha <small>([[Chief executive officer|CEO]])</small>",[[Financial services]],[[Bank]]ing<br/>[[Investment banking]]<br/>[[Private equity]]<br>[[Asset management]]<br>[[Private banking]]<br/>[[Insurance]]<br>[[Retail Banking]],{{increase}} [[United States dollar|US$]] 40.0 billion <small>(2023)</small>,{{decrease}} [[United States dollar|US$]] 3.3 billion <small>(2023)</small>,"86,200",,,[http://banco.bradesco banco.bradesco],Banco Bradesco,,,,,{{increase}} [[US$]] 407.7 billion <small>(2023)</small>,,,[[Bradespar]]<br>[[Bradesco Seguros]],{{ISIN|sl|=|n|pl|=|y|US0594603039}},[[Amador Aguiar]],"5,314 [[branch (banking)|branches]]",{{Unbulleted list|[[Banking]]|[[Financing]]|[[Insurance]]}},Ba3 ([[Moody's]]) <br> BB+ ([[Standard & Poor's|S&P]]),,,,,,,,,,,,,,,,,,,
Santander Chile Holding S.A.,Banco Santander Logotipo.svg,200px,[[S.A. (corporation)|Sociedad Anónima]],{{bcs|BSANTANDER}} <br /> {{New York Stock Exchange|BSAC}},1978,,,,"[[Mauricio Larraín]], <small>([[CEO]])</small>",[[Financial services|Finance and Insurance]],Banking,{{increase}} [[US$]] 4.1 billion <small>(2017)</small>,{{increase}} [[US$]] 871.1 million <small>(2018)</small>,"11,001",[[Santander Group]],,{{url|http://www.santander.cl}},Banco Santander Chile,,"[[Santiago, Chile]]",,,{{Increase}} [[US$]] 58.0 billion <small>(2018)</small>,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banco de Chile,Banco de Chile logo.svg,,[[S.A. (corporation)|Sociedad Anónima]],{{BCS|CHILE}} <br/> {{NYSE|BCH}} <br/> {{BMAD|isin|=|CLP0939W1081|XBCH}},October 1893,,,,"{{unbulleted list|[[Pablo Granifo Lavín]] <small>(Chairman)</small> |[[Arturo Tagle Quiroz]] |small|(CEO)|[[Andrónico Luksic Craig]] <small>(Vice President)</small>
|Francisco Aristeguieta Silva <small>(Vice President)</small>}} {{small|(CEO)}}",[[Banking]],,{{increase}} [[United States dollar|US$]] 3.8 billion <small>(2017)</small>,"{{increase}} [[United States dollar|US$]] 888.4 million <small>(2017)
</small>","14,581",,,{{url|bancochile.cl}},Banco de Chile,Banco de Chile.jpg,"[[Santiago, Chile]]",,,{{increase}} [[United States dollar|US$]] 55.0 billion <small>(2018)</small>,,,[[SM-Chile]],,,,,,[[Quiñenco]] (29%)<br /> [[Citigroup]] (29%),,,,,,,,,,,,,,,,,,
Banco do Brasil S.A.,Banco do Brasil Logo.svg,250,[[S.A. (corporation)|Sociedade Anônima]],{{B3 (stock exchange)|cvm|=|1023|BBAS3}} <br>[[Ibovespa|Ibovespa Component]],"[[Rio de Janeiro]], [[Captaincy of Rio de Janeiro|Rio de Janeiro]], [[State of Brazil|Brazil]]<br />( {{Start date and age|1808|10|12}} )",,,,[[Tarciana Medeiros]] ([[Chairperson|Chairwoman]] and [[Chief executive officer|CEO]]),[[Financial services]],{{hlist| [[Retail banking]] | [[Commercial bank|corporate banking]]| [[investment banking]]| [[insurance]]| [[private banking]]| [[private equity]]| [[mortgage loans]]| [[credit cards]]| [[investment management]]| [[wealth management]] | [[asset management]] | [[mutual funds]]| [[exchange-traded fund]]s| [[index fund]]s}},{{increase}} [[US$]] 53.0&nbsp;billion <small>(2017)</small>,{{increase}} [[Brazilian Real|R$]] 19.7&nbsp;billion <small>(2021)</small>,"{{decrease}} 84,597 <small>(2021)</small>",,,{{URL|bb.com.br}},Banco do Brasil,BBsedeI-a.jpg,,,,{{increase}} [[Brazilian Real|R$]] 1.9&nbsp;trillion <small>(2021)</small>,,,[[Banco Votorantim]]<br>[[Banco Patagonia]]<br>BB Seguridade<br>Banco do Brasil Americas<br/>BrasilPrev<br/>[[BB Tecnologia e Serviços]],,[[John VI of Portugal]],,,,[[Federal government of Brazil|Brazilian Government]] (50.0%) <small>(2021)</small>,"Headquarters in [[Brasília]], [[Brazil]]","[[Brasília]], [[Federal District (Brazil)|Federal District]]",[[Brazil]],,,,,,,,,,,,,,,
Bancolombia S.A.,Bancolombia S.A. logo.svg,250px,[[S.A. (corporation)|Sociedad Anónima]],{{BVC|BCOLOMBIA}} <br> {{nyse|CIB}},{{Start date and age|df|=|yes|1875|01|29}} (as '''Banco de Colombia'''),,,"[[Colombia]], [[Cayman Islands]], [[El Salvador]], [[Panama]], [[Puerto Rico]], [[Guatemala]], [[Peru]]","Juan Carlos Mora Uribe, ([[President (corporate title)|President]] and [[CEO]])",[[Financial services]],[[Banking]],{{profit}} US$4.3&nbsp;billion (2022),{{profit}} US$1.4&nbsp;billion (2022),"34,756 (2023)",,,{{Official website}},Bancolombia,Estación Industriales (Metro de Medellín).jpg,,,,{{profit}} US$50.5&nbsp;billion (2022),,,[[Banistmo]]<br>[[Banco Agricola]]<br>[[Banco Agromercantil]],,,,,,,Headquarters in Medellin,[[Medellín]],[[Colombia]],,,,,,,,,,,,,,,
BRF S.A.,BRF S.A. logo.svg,150px,[[Public company|Public]],{{B3 (stock exchange)|cvm|=|16292|BRFS3}} <br> {{nyse|BRFS}} <br>[[Ibovespa|Ibovespa Component]],"{{start date and age|August 18, 1934}}",,,Worldwide,Lorival Nogueira Luz Jr. (CEO) <Br> [[Pedro Parente]] (chairman),[[Food processing]],[[Meats]]<br/>[[Ultra-processed food]]<br/>[[Margarine]]s<br/>[[Pasta]]<br/>[[Pizza]]s<br/>[[Vegetables|Frozen vegetables]],{{increase}} US$ 10.8 billion (2023),{{decrease}} US$ 343.0 million (2023),"over 100,000",,,{{url|www.brf-global.com/en|brf-global.com}},BRF S.A.,,,,,,,,OneFoods,,,,,,,,"[[Itajaí]], [[Santa Catarina (state)|Santa Catarina]]",Brazil,Perdigão SA (1934-2009)<BR> BRF - Brasil Foods SA (2009-2013),,,,,,,,,,,,,,
Motiva,Motiva.svg,,[[S.A. (corporation)|Sociedade Anônima]],{{B3 (stock exchange)|cvm|=|18821|MOTV3}} <br>[[Ibovespa|Ibovespa Component]],1999,,,,Miguel Setas  ([[Chief executive officer|CEO]]),[[Transportation]],"[[Highways|Administration of highways]] <br> [[Metro system]] <br> [[Airport]] operation <br> [[Vehicle inspection]],",{{profit}} US$ 2.2 &nbsp;billion <SMALL>(2017)</SMALL>,{{increase}} US$ 543.1 &nbsp;million <SMALL>(2017)</SMALL>,"7,129",,,{{url|https://www.motiva.com.br/}},CCR S.A.,,"[[São Paulo]], [[Brazil]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEMEX S.A.B. de C.V.,Cemex_logo_2023.png,250px,[[S.A. (corporation)|Sociedad Anónima Bursátil de Capital Variable]],{{BMV|CEMEX|5203}} <br /> {{NYSE|CX}} <<br/> {{Pse|CHP}},{{start date and age|1906|df|=|yes}},,,Worldwide,Rogelio Zambrano Lozano<br> {{small|(Executive Chairman)}} <br>Jaime Muguiro<br> {{small|(CEO)}},[[Building materials]],"Cement, ready-mix concrete, and construction aggregates",{{decrease}} US$ 13 billion <small>(2020)</small>,{{decrease}} (US$ 1.47 billion) <small>(2020)</small>,"41,000+",,,[http://www.cemex.com/ www.cemex.com],Cemex,,"[[Monterrey]], [[Nuevo León]], [[Mexico]]",,,{{decrease}} US$ 27.4 billion <small>(2020)</small>,,,,,Lorenzo Zambrano Gutierrez,,,,,,,,,,,,,,,,,,,,,,
Centros Comerciales Sudamericanos S.A.,Cencosud-2014.svg,,[[Public company|Public]],{{BCS|CENCOSUD}},{{start date and age|1960}},,,,[[Horst Paulmann|Horst Paulmann Kemna]],[[Retailer|Retail]],[[Hypermarkets]] <br /> [[Supermarkets]] <br /> [[Shopping malls]] <br /> [[Department stores]],{{increase}} [[United States dollar|US$]] 19.0 billion <small>(2012)</small>,{{decrease}} [[United States dollar|US$]] 562.6 million <small>(2012)</small>,"126,530",,,[https://www.tarjetacencosud.cl/publico/home www.cencosud.com],Cencosud,,"[[Santiago, Chile|Santiago]], Chile",{{ublist|[[Argentina]]|[[Brazil]]|[[Chile]]|[[Colombia]]|[[Peru]]|[[United States]]}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credicorp Ltd.,,,[[Public company|Public]],[[Lima Stock Exchange|BVL]]:BAP<br> {{NYSE|BAP}},1995,,,,Luis Romero Belismelis (chairman)<br />Gianfranco Ferrari (CEO),{{unbulleted list|Finance|Commercial Banking|Insurance}},,,,,,,,Credicorp,Logo Credicorp.png,Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecopetrol S.A.,Ecopetrol logo.svg,200px,[[S.A. (corporation)|Sociedad Anónima]],{{BVC|ECOPETROL}} <br> {{NYSE|EC}} <br> {{FWB|ECHA}},{{Start date and age|1921}} <br/>(Tropical Oil Company - Mares Concession),,,,"Ricardo Roa, ([[Chairman]] & [[CEO]])",[[Petroleum industry|Oil and Gas]],oil and gas,{{increase}} {{US$|34.3}} {{nbsp}} billion,,"9,315",,,{{URL|http://www.ecopetrol.com.co/}},Ecopetrol,,,,{{increase}} {{US$|8.7}} {{nbsp}} billion,{{increase}} {{US$|73}} {{nbsp}} billion,,,,,{{Start date and age|1951}} <br/>(Ecopetrol - created in 1948 by means of Law 165 of that year),,,,,,[[Bogotá]],[[Colombia]],,2023,2023,2023,,,,,,,,,,,
Empresas CMPC S.A.,Logo-cmpc.svg,,{{Lang|es|[[S.A. (corporation)|Sociedad Anónima]]}},{{BCS|CMPC}},{{start date and age|1920|3|12|df|=|y}},,,,"[[Luis Felipe Gazitua]], <small>([[Chairman]])</small> <br> Francisco Ruiz-Tagle Edwards, <small> ([[CEO]])</small>",[[Pulp and Paper]],,{{increase}} [[US$]] 5.1 billion <small>(2017)</small>,{{increase}} [[US$]] 103.0 million <small>(2017)</small>,"17,500 (2015 average)",,,[http://www.cmpc.cl www.cmpc.cl],Empresas CMPC,,"[[Santiago, Chile]]",,,,,,[[Forestal Mininco]],,,,,,,,,,,,,,,,,,,,,,,,
Empresas Copec S.A.,,,[[S.A. (corporation)|Sociedad Anónima]],{{BCS|COPEC}},1934,,,,"Roberto Angelini Rossi, <small>([[Chairman]])</small> <br> Eduardo Navarro Beltrán, <small>([[CEO]])</small>",[[Energy]],[[Forestry]]<br>[[Fuel]]<br>[[Fishing]]<br>Other Investments,{{profit}} [[US$]]22.7 billion <small>(2012)</small>,{{decrease}} [[US$]]409.6 million <small>(2012)</small>,"8,644",[[AntarChile]],,[http://www.ec.cl www.ec.cl],Empresas Copec,,,,,,,,"[[Celulosa Arauco y Constitución]], MAPCO Express (USA), Metrogas, among others.",,,,,,,,"[[Santiago, Chile|Santiago]]",[[Chile]],,,,,,,,,,,,,,,
Enel Américas S.A.,Enel Group logo.svg,,[[S.A. (corporation)|Sociedad Anónima]],"{{Unbulleted list|BCS|ENELAM|
[[Bolsa Electronica de Chile|BEC]]}} {{BCS|ENELAM}}",1889,,,,,[[Electric Energy]],"[[Electricity generation]], [[Electricity transmission|transmission]] and [[Electricity distribution|distribution]]","{{increase}} [[United States dollar|US$]] 4,825 million (2022)",{{increase}} [[United States dollar|US$]] 44 million (2022),"16,072",[[Enel]],,[https://www.enelamericas.com  www.enelamericas.com],Enel Américas,,,,,,,,{{Unbulleted list|[[Enel Colombia]]<Br> [[AES Eletropaulo|Enel Distribuição São Paulo]]|[[Enel Distribuição Río]]|[[EGP Brasil]]|[[Volta Grande]]|[[Cachoeira Dourada]]|[[EGP Costa Rica]]|[[EGP Guatemala]]|[[EGP Panamá]]}},,,,,,,,"[[Santiago, Chile|Santiago]]",[[Chile]],,,,,,,,,,,,,,,
